1000:0000 entry size=355 ncallers=0 | TO_BE_USED_FOR_WHATEVER_YOU
1000:155f N_LUDIV size=5 ncallers=1 | 
1000:1564 FUN_1000_1564 size=3 ncallers=1 | 
1000:1567 N_LMOD size=5 ncallers=2 | 
1000:156f N_LUMOD size=1 ncallers=0 | 
1000:1572 FUN_1000_1572 size=145 ncallers=3 | 
1000:1603 FUN_1000_1603 size=3 ncallers=1 | 
1000:1606 N_LXLSH size=30 ncallers=16 | 
1000:1627 N_LXRSH size=29 ncallers=9 | 
1000:1644 FUN_1000_1644 size=77 ncallers=1 | 
1000:16a4 FUN_1000_16a4 size=40 ncallers=1 | 
1000:16cc FUN_1000_16cc size=57 ncallers=18 | 
1000:1705 FUN_1000_1705 size=18 ncallers=4 | 
1000:1717 FUN_1000_1717 size=17 ncallers=1 | 
1000:1728 FUN_1000_1728 size=125 ncallers=5 | 
1000:17a5 FUN_1000_17a5 size=29 ncallers=1 | 
1000:17c2 FUN_1000_17c2 size=41 ncallers=6 | 
1000:17eb FUN_1000_17eb size=63 ncallers=2 | 
1000:182a FUN_1000_182a size=67 ncallers=0 | 
1000:186d lmul32 size=23 ncallers=6 | 
1000:1884 FUN_1000_1884 size=33 ncallers=2 | 
1000:18a5 srand size=17 ncallers=9 | 
1000:18b6 rand size=38 ncallers=36 | 
1000:18dc FUN_1000_18dc size=45 ncallers=2 | 
1000:1909 FUN_1000_1909 size=22 ncallers=3 | 
1000:191f FUN_1000_191f size=38 ncallers=1 | 
1000:1945 FUN_1000_1945 size=25 ncallers=1 | 
1000:195e FUN_1000_195e size=193 ncallers=1 | 
1000:1a1f FUN_1000_1a1f size=350 ncallers=3 | 
1000:1b7d FUN_1000_1b7d size=20 ncallers=1 | 
1000:1b91 FUN_1000_1b91 size=51 ncallers=0 | 
1000:1bc4 FUN_1000_1bc4 size=51 ncallers=0 | 
1000:1bf7 FUN_1000_1bf7 size=24 ncallers=1 | 
1000:1c0f FUN_1000_1c0f size=19 ncallers=1 | 
1000:1c22 FUN_1000_1c22 size=19 ncallers=1 | 
1000:1cda FUN_1000_1cda size=56 ncallers=0 | 
1000:1d12 FUN_1000_1d12 size=77 ncallers=4 | 
1000:1d5f FUN_1000_1d5f size=44 ncallers=2 | 
1000:1d8b FUN_1000_1d8b size=44 ncallers=6 | 
1000:1db7 FUN_1000_1db7 size=22 ncallers=1 | 
1000:1dcd FUN_1000_1dcd size=7 ncallers=1 | 
1000:1dd4 FUN_1000_1dd4 size=9 ncallers=1 | 
1000:1ddd FUN_1000_1ddd size=8 ncallers=1 | 
1000:1de5 FUN_1000_1de5 size=26 ncallers=5 | 
1000:1dff FUN_1000_1dff size=13 ncallers=1 | 
1000:1e0c FUN_1000_1e0c size=9 ncallers=1 | 
1000:1e15 FUN_1000_1e15 size=48 ncallers=1 | 
1000:1e45 FUN_1000_1e45 size=1059 ncallers=1 | 
1000:2298 FUN_1000_2298 size=37 ncallers=4 | 
1000:22bd FUN_1000_22bd size=122 ncallers=2 | 
1000:2337 FUN_1000_2337 size=41 ncallers=3 | 
1000:2360 FUN_1000_2360 size=34 ncallers=2 | 
1000:2382 FUN_1000_2382 size=49 ncallers=3 | 
1000:23b3 FUN_1000_23b3 size=12 ncallers=0 | 
1000:23bf FUN_1000_23bf size=16 ncallers=0 | 
1000:23cf clrscr size=41 ncallers=1 | 
1000:23f8 textcolor size=21 ncallers=1 | 
1000:240d FUN_1000_240d size=25 ncallers=0 | 
1000:2426 FUN_1000_2426 size=11 ncallers=0 | 
1000:2444 FUN_1000_2444 size=293 ncallers=1 | 
1000:2577 cputs size=22 ncallers=1 | 
1000:258d FUN_1000_258d size=42 ncallers=1 | 
1000:25b7 FUN_1000_25b7 size=14 ncallers=2 | 
1000:25c5 FUN_1000_25c5 size=139 ncallers=9 | 
1000:266d FUN_1000_266d size=193 ncallers=1 | 
1000:274d FUN_1000_274d size=1 ncallers=1 | 
1000:274e FUN_1000_274e size=26 ncallers=1 | 
1000:2789 FUN_1000_2789 size=97 ncallers=16 | 
1000:2b80 FUN_1000_2b80 size=26 ncallers=1 | PRIEST_BATTLE_SPELLS
1000:2ba6 FUN_1000_2ba6 size=99 ncallers=1 | 
1000:2c09 FUN_1000_2c09 size=113 ncallers=1 | 
1000:2c7a FUN_1000_2c7a size=41 ncallers=2 | 
1000:2ca3 FUN_1000_2ca3 size=55 ncallers=1 | 
1000:2cda FUN_1000_2cda size=41 ncallers=3 | 
1000:2d03 FUN_1000_2d03 size=100 ncallers=1 | 
1000:2d67 FUN_1000_2d67 size=90 ncallers=1 | 
1000:2dc1 FUN_1000_2dc1 size=35 ncallers=1 | 
1000:2de4 farmalloc size=125 ncallers=5 | 
1000:2e61 FUN_1000_2e61 size=124 ncallers=1 | 
1000:2edd FUN_1000_2edd size=100 ncallers=1 | 
1000:2f41 FUN_1000_2f41 size=122 ncallers=0 | 
1000:2fbb FUN_1000_2fbb size=118 ncallers=2 | 
1000:3031 FUN_1000_3031 size=63 ncallers=2 | 
1000:3070 FUN_1000_3070 size=139 ncallers=2 | 
1000:30fb FUN_1000_30fb size=80 ncallers=1 | 
1000:314b FUN_1000_314b size=25 ncallers=2 | 
1000:31a9 FUN_1000_31a9 size=73 ncallers=4 | 
1000:31f2 FUN_1000_31f2 size=84 ncallers=1 | 
1000:3246 FUN_1000_3246 size=84 ncallers=1 | 
1000:329a int86 size=40 ncallers=14 | 
1000:32c2 FUN_1000_32c2 size=156 ncallers=2 | 
1000:335e FUN_1000_335e size=39 ncallers=1 | 
1000:3385 FUN_1000_3385 size=18 ncallers=14 | 
1000:3397 FUN_1000_3397 size=151 ncallers=1 | 
1000:342e FUN_1000_342e size=157 ncallers=1 | 
1000:34cb FUN_1000_34cb size=29 ncallers=5 | 
1000:34e8 FUN_1000_34e8 size=58 ncallers=1 | 
1000:3522 FUN_1000_3522 size=57 ncallers=1 | 
1000:355b FUN_1000_355b size=28 ncallers=2 | 
1000:3577 FUN_1000_3577 size=35 ncallers=1 | 
1000:359a farmalloc_small size=96 ncallers=7 | 
1000:35fa FUN_1000_35fa size=64 ncallers=1 | 
1000:363a FUN_1000_363a size=41 ncallers=1 | 
1000:3663 FUN_1000_3663 size=25 ncallers=1 | 
1000:3746 FUN_1000_3746 size=19 ncallers=0 | 
1000:3759 thunk_FUN_1000_05db size=4 ncallers=1 | 
1000:375d FUN_1000_375d size=56 ncallers=1 | 
1000:3795 FUN_1000_3795 size=46 ncallers=1 | 
1000:37c3 FUN_1000_37c3 size=198 ncallers=1 | 
1000:3889 FUN_1000_3889 size=60 ncallers=3 | 
1000:38c5 FUN_1000_38c5 size=85 ncallers=3 | 
1000:391a FUN_1000_391a size=34 ncallers=1 | 
1000:393c FUN_1000_393c size=358 ncallers=2 | 
1000:3bbb FUN_1000_3bbb size=28 ncallers=1 | 
1000:3c34 FUN_1000_3c34 size=44 ncallers=4 | MAY_ATTEMPT_TO_COMPLETE_THIS
1000:3c60 FUN_1000_3c60 size=7 ncallers=4 | 
1000:3c67 FUN_1000_3c67 size=31 ncallers=1 | 
1000:3c86 FUN_1000_3c86 size=10 ncallers=2 | 
1000:3cb2 atol size=112 ncallers=5 | 
1000:3d22 FUN_1000_3d22 size=13 ncallers=0 | 
1000:3d2f FUN_1000_3d2f size=27 ncallers=1 | 
1000:3d4a FUN_1000_3d4a size=40 ncallers=1 | 
1000:3d72 FUN_1000_3d72 size=30 ncallers=2 | 
1000:3d90 FUN_1000_3d90 size=119 ncallers=1 | 
1000:3e07 fclose size=129 ncallers=23 | 
1000:3e88 FUN_1000_3e88 size=127 ncallers=6 | 
1000:3f09 fgets size=98 ncallers=1 | 
1000:3f6b FUN_1000_3f6b size=58 ncallers=1 | 
1000:3fa5 FUN_1000_3fa5 size=186 ncallers=1 | 3_VISITOR_S_GUIDE_TO_THE_TOWN
1000:405f FUN_1000_405f size=156 ncallers=1 | 
1000:40fb FUN_1000_40fb size=43 ncallers=1 | 
1000:4126 fopen size=31 ncallers=22 | 
1000:4145 FUN_1000_4145 size=22 ncallers=2 | 
1000:415b FUN_1000_415b size=215 ncallers=1 | 
1000:4232 fread size=75 ncallers=3 | 
1000:427d FUN_1000_427d size=93 ncallers=2 | 
1000:42da FUN_1000_42da size=104 ncallers=1 | 
1000:4342 FUN_1000_4342 size=199 ncallers=0 | 
1000:4409 fwrite size=76 ncallers=1 | 
1000:4455 FUN_1000_4455 size=41 ncallers=2 | 
1000:447e FUN_1000_447e size=89 ncallers=1 | 
1000:44d7 FUN_1000_44d7 size=18 ncallers=2 | 
1000:44ec fgetc size=173 ncallers=14 | 
1000:45a5 FUN_1000_45a5 size=95 ncallers=2 | 
1000:4604 itoa size=40 ncallers=27 | 
1000:462c FUN_1000_462c size=26 ncallers=0 | 
1000:4646 ltoa size=37 ncallers=6 | 
1000:466b FUN_1000_466b size=31 ncallers=3 | 
1000:468a FUN_1000_468a size=38 ncallers=1 | 
1000:46b0 FUN_1000_46b0 size=27 ncallers=1 | 
1000:46cb FUN_1000_46cb size=25 ncallers=1 | 
1000:46e4 FUN_1000_46e4 size=18 ncallers=1 | 
1000:46f6 FUN_1000_46f6 size=344 ncallers=1 | 
1000:484e FUN_1000_484e size=77 ncallers=1 | 
1000:489b puts size=23 ncallers=3 | 
1000:48b2 FUN_1000_48b2 size=25 ncallers=1 | 
1000:48cb FUN_1000_48cb size=305 ncallers=6 | 
1000:4a01 FUN_1000_4a01 size=18 ncallers=0 | 
1000:4a13 FUN_1000_4a13 size=419 ncallers=1 | 
1000:4bbb FUN_1000_4bbb size=206 ncallers=2 | 
1000:4c89 FUN_1000_4c89 size=213 ncallers=1 | 4_SPELLS__SCROLLS__WANDS__PAPER
1000:4d61 FUN_1000_4d61 size=63 ncallers=1 | 
1000:4da0 FUN_1000_4da0 size=65 ncallers=0 | 
1000:4df7 FUN_1000_4df7 size=280 ncallers=1 | 
1000:4f8a FUN_1000_4f8a size=40 ncallers=0 | 
1000:4fb2 FUN_1000_4fb2 size=29 ncallers=4 | 
1000:4fcf FUN_1000_4fcf size=28 ncallers=0 | 
1000:4feb strcat size=57 ncallers=32 | 
1000:5024 FUN_1000_5024 size=54 ncallers=2 | 
1000:505a FUN_1000_505a size=47 ncallers=2 | 
1000:5089 strcpy size=34 ncallers=52 | 
1000:50ab strlen size=26 ncallers=39 | 
1000:50c5 FUN_1000_50c5 size=44 ncallers=3 | 
1000:50f1 FUN_1000_50f1 size=281 ncallers=1 | POISONED_DRUGGIE
1000:520a FUN_1000_520a size=464 ncallers=1 | uspells_hlp ; ENCHANT_RING_LEVEL_3
1000:53da FUN_1000_53da size=385 ncallers=2 | 
1000:555b FUN_1000_555b size=223 ncallers=2 | 
1000:563a FUN_1000_563a size=270 ncallers=2 | 
1000:5748 FUN_1000_5748 size=58 ncallers=3 | 
2000:000d FUN_2000_000d size=98 ncallers=2 | 
2000:0073 FUN_2000_0073 size=39 ncallers=1 | 
2000:009a FUN_2000_009a size=41 ncallers=2 | 
2000:00c3 FUN_2000_00c3 size=136 ncallers=1 | 
2000:014b FUN_2000_014b size=33 ncallers=0 | 
2000:016c FUN_2000_016c size=41 ncallers=1 | 
2000:0195 FUN_2000_0195 size=35 ncallers=1 | 
2000:01b8 FUN_2000_01b8 size=38 ncallers=1 | 
2000:01de FUN_2000_01de size=146 ncallers=2 | 
2000:0272 FUN_2000_0272 size=104 ncallers=5 | 
2000:02da FUN_2000_02da size=119 ncallers=0 | 
2000:0351 FUN_2000_0351 size=38 ncallers=1 | 
2000:0377 FUN_2000_0377 size=17 ncallers=2 | 
2000:0388 FUN_2000_0388 size=38 ncallers=1 | 
2000:03ae FUN_2000_03ae size=38 ncallers=1 | 
2000:03d4 FUN_2000_03d4 size=71 ncallers=5 | 
2000:041b FUN_2000_041b size=156 ncallers=0 | 
2000:04b7 FUN_2000_04b7 size=28 ncallers=2 | 
2000:04d3 FUN_2000_04d3 size=77 ncallers=0 | 
2000:0520 FUN_2000_0520 size=51 ncallers=0 | 
2000:0553 FUN_2000_0553 size=135 ncallers=1 | 
2000:05da FUN_2000_05da size=497 ncallers=2 | 
2000:07cb FUN_2000_07cb size=96 ncallers=0 | 
2000:082b FUN_2000_082b size=42 ncallers=0 | 
2000:0855 FUN_2000_0855 size=106 ncallers=1 | 
2000:08bf FUN_2000_08bf size=44 ncallers=0 | 
2000:08eb FUN_2000_08eb size=56 ncallers=0 | 
2000:0923 FUN_2000_0923 size=227 ncallers=0 | 
2000:0a06 FUN_2000_0a06 size=445 ncallers=1 | 
2000:0bc3 FUN_2000_0bc3 size=448 ncallers=1 | 
2000:0d83 FUN_2000_0d83 size=303 ncallers=2 | 
2000:0ec2 FUN_2000_0ec2 size=259 ncallers=1 | 
2000:0fc5 FUN_2000_0fc5 size=549 ncallers=0 | 
2000:11ea FUN_2000_11ea size=424 ncallers=0 | 
2000:1392 FUN_2000_1392 size=435 ncallers=2 | 
2000:1545 FUN_2000_1545 size=44 ncallers=1 | 
2000:1571 FUN_2000_1571 size=39 ncallers=0 | 
2000:1598 FUN_2000_1598 size=1353 ncallers=1 | BROWN_PUFFBALL ; HEALTH_POINTS_ ; NUMBER_NAME_SEX_RACE_CLASS
2000:1af9 FUN_2000_1af9 size=9 ncallers=1 | 
2000:1b02 shade_palette size=95 ncallers=1 | 
2000:1b61 FUN_2000_1b61 size=250 ncallers=1 | 
2000:1c5b FUN_2000_1c5b size=89 ncallers=1 | 
2000:1ccc section_number3 size=67 ncallers=3 | 
2000:1d12 section_number_p size=15 ncallers=1 | 
2000:1d23 section_number size=16 ncallers=6 | 
2000:1d35 section_number2 size=24 ncallers=5 | 
2000:1d4f FUN_2000_1d4f size=908 ncallers=0 | 
2000:20db FUN_2000_20db size=148 ncallers=14 | 
2000:216f FUN_2000_216f size=249 ncallers=3 | 
2000:2268 FUN_2000_2268 size=1464 ncallers=6 | 
2000:2820 FUN_2000_2820 size=158 ncallers=17 | 
2000:28be FUN_2000_28be size=157 ncallers=17 | 
2000:295b FUN_2000_295b size=211 ncallers=3 | 
2000:2a2e FUN_2000_2a2e size=81 ncallers=5 | 
2000:2a83 FUN_2000_2a83 size=133 ncallers=5 | 
2000:2b08 mset_gmenu size=645 ncallers=13 | 
2000:2d93 get_choice size=309 ncallers=17 | 
2000:2ecc FUN_2000_2ecc size=143 ncallers=1 | 
2000:2f5d FUN_2000_2f5d size=281 ncallers=6 | 
2000:3076 FUN_2000_3076 size=40 ncallers=16 | 
2000:309e print_menu_only size=152 ncallers=28 | 
2000:313a give_hint size=130 ncallers=26 | 
2000:31bc FUN_2000_31bc size=749 ncallers=1 | 
2000:34a9 FUN_2000_34a9 size=65 ncallers=3 | 
2000:34ea FUN_2000_34ea size=73 ncallers=1 | 
2000:3533 FUN_2000_3533 size=140 ncallers=3 | 
2000:35bf FUN_2000_35bf size=130 ncallers=0 | 
2000:3641 FUN_2000_3641 size=17 ncallers=2 | 
2000:3654 load_overlay_pic size=216 ncallers=3 | 
2000:372c load_section_pictures size=1179 ncallers=1 | 
2000:3bc7 allocate_buffers size=468 ncallers=1 | 
2000:3d9b reset_view_caches size=146 ncallers=13 | 
2000:3e2d FUN_2000_3e2d size=70 ncallers=0 | 
2000:3e73 FUN_2000_3e73 size=481 ncallers=3 | 
2000:4054 FUN_2000_4054 size=208 ncallers=31 | 
2000:412a FUN_2000_412a size=40 ncallers=2 | 
2000:4156 Random size=84 ncallers=20 | 
2000:41ae compute_weight size=100 ncallers=6 | 
2000:4212 end_prep_spells size=123 ncallers=1 | 
2000:428d store_refund size=254 ncallers=1 | 
2000:438f show_money size=311 ncallers=3 | 
2000:44c6 FUN_2000_44c6 size=44 ncallers=1 | 
2000:44f2 FUN_2000_44f2 size=20 ncallers=1 | 
2000:4506 FUN_2000_4506 size=165 ncallers=4 | 
2000:45ab g_store size=1934 ncallers=1 | SELECT_THE_TYPE_OF_WAND_ ; BOLTS_FORWARD__BURNING
2000:4d39 temple size=666 ncallers=1 | Temple ; HERE_ ; SORRY__CAN_T_BUY_ON_CREDIT ; GIANT_GARBAGE_CAN
2000:4fe7 flea_inn size=1700 ncallers=1 | Grub_Sleep ; CULTURE_STOCK_NEEDED_TO_AVOID ; AGING_ ; YOU_HAVE__UNITS__ ; MAGIC_CRYSTALS_NEEDED_TO_REGAIN ; SPELL_POINTS_ ; THE_ROOMS_IN_THIS_FINE_PLACE ; COST ; WOULD_YOU_LIKE_TO_STAY_ ; 1__STAY_AND_REST_FOR_A_WHILE ; 2__RUN_FOR_YOUR_LIFE ; _THIS_IS_THE_ONLY ; IN_TOWN_
2000:568b bank size=813 ncallers=1 | The_Bank ; bank_pic ; PLEASE_TYPE_THE_AMOUNT ; AND_HIT_ENTER_
2000:59c0 FUN_2000_59c0 size=589 ncallers=3 | 
2000:5c0d select_player size=875 ncallers=1 | PLEASE_SELECT_A_PLAYER_ ; NUMBER_NAME_SEX_RACE_CLASS ; __SELECT_TO_CREATE_A_NEW_CHARACT ; MALE ; FEMALE
2000:5f78 decode_quit_message size=116 ncallers=1 | 
2000:5fec load_md_bin size=252 ncallers=1 | 
2000:60e8 show_registration_notice size=295 ncallers=1 | 
2000:620f main size=863 ncallers=1 | THIS_SPELL_
2000:6573 which_monster size=59 ncallers=2 | 
2000:65b0 monster_at size=42 ncallers=6 | 
2000:65dc set_monster_map size=28 ncallers=8 | 
2000:65f8 get_mtype size=291 ncallers=1 | 
2000:671e stock_level size=2320 ncallers=4 | 
2000:702e save_monster_map size=198 ncallers=1 | HB_mon_map
2000:70f4 load_monster_map size=284 ncallers=1 | HB_mon_map
2000:7210 FUN_2000_7210 size=99 ncallers=3 | 
2000:7277 FUN_2000_7277 size=99 ncallers=1 | 
2000:72de FUN_2000_72de size=53 ncallers=3 | 
2000:7313 save_maps size=411 ncallers=3 | 
2000:74ae load_maps size=473 ncallers=1 | 
2000:7687 load_level_map size=295 ncallers=7 | 
2000:77ae FUN_2000_77ae size=78 ncallers=0 | 
2000:7800 FUN_2000_7800 size=47 ncallers=0 | 
2000:7832 FUN_2000_7832 size=69 ncallers=0 | 
2000:787d load_unfdung_bin size=55 ncallers=1 | 
2000:78b4 load_player size=249 ncallers=1 | Corrupted_Character__Sorry_
2000:79ad save_player size=203 ncallers=6 | 
2000:7a78 read_spell_help size=208 ncallers=1 | 
2000:7b48 exp_needed size=126 ncallers=2 | 
2000:7bcd FUN_2000_7bcd size=164 ncallers=1 | BEXPERIENCE_NEEDED_FOR_LEVEL_
2000:7c71 check_gain_level size=174 ncallers=3 | 
2000:7d23 gain_level size=196 ncallers=1 | 
2000:7dec FUN_2000_7dec size=74 ncallers=1 | 
2000:7e36 strike size=845 ncallers=1 | YOU_MISSED_THE_MONSTER ; YOU_HIT_THE_MONSTER___ ; IT_TAKES ; POINTS_OF_DAMAGE_
2000:8189 gain_or_drain size=216 ncallers=1 | STRENGTH ; INTELLIGENCE ; CONSTITUTION ; DEXTERITY
2000:826d FUN_2000_826d size=74 ncallers=1 | 
2000:82b7 defend size=3272 ncallers=1 | DRAINED_BY_PUFFBALL_ ; RAISED_BY_PUFFBALL_ ; GIANT_GARBAGE_CAN ; MISSES_ ; ON_YOU__IT_DOES ; POINT ; POINTS ; A_YOU_LOSE ; EXP__POINTS_ ; LEVELS_ ; OH_NO__HIT_BY_LIFE_DRAINER_ ; HIT_ANY_KEY ; HAS_BEEN_DRAINED_ ; HAS_BEEN_RAISED_
2000:8f85 FUN_2000_8f85 size=20 ncallers=1 | 
2000:8f99 null_check size=226 ncallers=1 | Null_pointer_assignment_Divide_e
2000:907b FUN_2000_907b size=67 ncallers=1 | 
2000:90be load_level_screen size=372 ncallers=1 | HB_mon_map ; Loading__please_wait___
2000:9232 FUN_2000_9232 size=117 ncallers=1 | 
2000:92b1 view_prep_spells size=358 ncallers=1 | PREP_SPELLS_IN_EFFECT ; WEAPONS__PLUS ; ARMOR__PLUS ; INVISIBILITY ; FEATHER ; FAST_MOVE ; STRENGTH__PREP_VERSION_ ; AGILITY__PREP_VERSION_ ; SUPER_STRENGTH ; SUPER_AGILITY
2000:9417 view_battle_spells size=1184 ncallers=3 | CURRENT_BATTLE_SPELLS_IN_EFFECT ; PROTECT__LEVEL ; POWER_WEAPON ; STRENGTH ; SPEED ; SLOW_MONSTER ; HOLD_MONSTER ; STOP_MONSTER ; RESIST_DRAIN ; RESIST_POISON ; RESIST_DISEASE ; ANTI_COLD ; ANTI_FIRE
2000:98b7 lose_item size=860 ncallers=1 | WHICH_TYPE_OF_ITEM_WOULD_YOU ; LIKE_TO_DROP_ ; 1__ARMOR ; 2__WEAPON ; 3__MONEY ; OWE__IT_JUST_WON_T_COME_OFF_
2000:9c13 quit_game size=167 ncallers=1 | HIT_ANY_KEY
2000:9cba trapdoor size=87 ncallers=3 | 
2000:9d17 FUN_2000_9d17 size=843 ncallers=1 | 
2000:a068 FUN_2000_a068 size=92 ncallers=1 | 
2000:a0c8 check_engagement size=233 ncallers=2 | 
2000:a1b7 tick_spell_timers size=354 ncallers=1 | 
2000:a319 call_check_eng size=547 ncallers=2 | 
2000:a53c pass_moment size=1258 ncallers=3 | 
2000:aa26 FUN_2000_aa26 size=111 ncallers=2 | 
2000:aa95 draw_ladder_prompt size=521 ncallers=1 | TO_GO_UP ; HIT_D_TO ; GO_DOWN
2000:ac9e FUN_2000_ac9e size=1305 ncallers=1 | B_GO_FORWARD_TURN_LEFT_TURN_AROU
2000:b1b7 move_seconds size=39 ncallers=1 | 
2000:b1e0 FUN_2000_b1e0 size=34 ncallers=1 | 
2000:b202 use_magic_item size=816 ncallers=1 | YOU_ARE_SLIPPING_THROUGH_THE ; FLOOR__HIT_ANY_KEY___ ; DOESN_T_WORK_THIS_DEEP_ ; YOU_FEEL_GREAT__HIT_A_KEY___ ; THE_MONSTER_CATCHES_THE ; GRADADE_ ; HIT_ANY_KEY___ ; A_MASSIVE_EXPLOSION_KILLS ; THE_MONSTER_INSTANTLY_
2000:b532 chute size=184 ncallers=1 | UH_OH____A_SINKING_FEELING___ ; YOU_HAVE_FALLEN_DOWN_A_CHUTE_ ; HIT_ANY_KEY_TO_CONTINUE___
2000:b5ea detect_chute size=157 ncallers=2 | 
2000:b68d print_battle_hp_info size=245 ncallers=2 | IT_HAS ; HEALTH_POINTS_LEFT
2000:b782 engagement_timing size=373 ncallers=1 | 
2000:b8f7 attack_timing size=323 ncallers=2 | 
2000:ba3f dig_hole size=624 ncallers=1 | A_MONSTER_WANTS_TO_HELP ; DIGGING____DIGGING___ ; BOY_THIS_IS_HARD_WORK_ ; THIS_IS_ONE_WAY_TO_WORK ; UP_A_SWEAT_
2000:bcb6 FUN_2000_bcb6 size=47 ncallers=1 | 
2000:bce5 FUN_2000_bce5 size=77 ncallers=1 | 
2000:bd32 town_features size=112 ncallers=2 | 
2000:bda6 trapdoor_dest size=145 ncallers=1 | 
2000:be3d explain_trapdoor size=334 ncallers=1 | YOU_HAVE_FOUND_A_TRAP_DOOR ; UNFORTUNATELY__YOU_DO ; NOT_HAVE_THE_CORRECT_KEY_ ; THIS_KEY_CAN_ONLY_BE ; FOUND_BY_KILLING_A_LEVEL ; DRAINER_NEAR_THE_LEVEL ; THIS_TRAP_DOOR_LEADS_TO_ ; TO_USE_THE_KEY_YOU_FOUND ; EARLIER__HIT__K__TO_GO ; THROUGH_THE_DOOR___
2000:bf91 FUN_2000_bf91 size=216 ncallers=1 | GO_WEST ; GO_EAST ; GO_NORTH ; GO_SOUTH
2000:c069 module_installed size=56 ncallers=1 | 
2000:c0a5 change_module size=343 ncallers=1 | HB_mon_map
2000:c200 FUN_2000_c200 size=43 ncallers=1 | 
2000:c22d retdwall2 size=90 ncallers=1 | 
2000:c28b FUN_2000_c28b size=125 ncallers=1 | 
2000:c308 movecontrol size=7128 ncallers=1 | CHARACTERS_OF_YOUR_PROFESSION ; CAN_NOT_WEAR_ARMOR_OF_THIS_TYPE ; YOU_CONTINUE_TO_WEAR_YOUR_OLD ; ARMOR_ ; WHICH_TYPE_OF_ITEM_ ; 1__SCROLL ; 2__WAND ; 3__PAPER ; 4__MAGIC_POTION ; 5__OTHER ; I_DON_T_SEE_ANY_TRAP ; DOOR_HERE__KEEP_SEARCHING ; HIT_ANY_KEY___ ; CHARACTERS_OF_YOUR_CLASS
2000:df0e FUN_2000_df0e size=44 ncallers=1 | 
2000:df3e print_spell_line size=215 ncallers=1 | 
